지역,일자,지명,주소,좌표
경북,4/9,인정식당,경북예천군예천읍동본리558-1,"36.656190351426105,128.45736624511812"
경북,4/9,예천권병원,경북예천군예천읍동본리460-2,"36.65741494944681,128.4589058076981"
인천,4/16,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
인천,4/16,코로나19미추홀구보건소선별진료소,인천미추홀구도화동357-1,"37.46109730656191,126.67744386263398"
인천,4/17,인천광역시의료원,인천동구송림동318-1,"37.4788434212658,126.668610185659"
서울,4/16,코로나19강남구보건소선별진료소,서울강남구삼성동8,"37.51636077923351,127.042273077358"
서울,4/18,코로나19강남구보건소선별진료소,서울강남구삼성동8,"37.51636077923351,127.042273077358"
서울,4/16,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
서울,4/18,서울특별시보라매병원,서울동작구신대방동425,"Seou,37.49379005514929"
서울,4/17,서울특별시보라매병원,서울동작구신대방동425,"Seou,37.49379005514929"
경남,4/16,육군훈련소,충남논산시연무읍마산리636,"36.11571709038438,127.0993604524683"
대구,4/17,육군훈련소,충남논산시연무읍마산리636,"36.11571709038438,127.0993604524683"
경북,4/9,GS25예천권병원점,경북예천군예천읍동본리495-4,"36.657350775257605,128.45848074403415"
경북,4/9,인정식당,경북예천군예천읍동본리558-1,"36.656190351426105,128.45736624511812"
경북,4/9,예천권병원,경북예천군예천읍동본리460-2,"36.65741494944681,128.4589058076981"
경북,4/8,땅땅치킨예천점,경북예천군예천읍남본리223-12,"36.65616780200419,128.4536082385481"
경북,4/8,신가네찜닭전문점,경북예천군예천읍노하리73-7,"36.6571451350037,128.45414999969714"
경북,4/8,세종목욕탕,경북예천군예천읍남본리222-58,"36.65578217011241,128.45183403790713"
경북,4/7,땅땅치킨예천점,경북예천군예천읍남본리223-12,"36.65616780200419,128.4536082385481"
경북,4/7,CU예천서본점,경북예천군예천읍서본리3-38,"36.656718843329706,128.45305048504412"
울산,4/16,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
울산,4/18,코로나19북구보건소선별진료소,울산북구연암동1082,"35.58356602731991,129.3607339360444"
울산,4/19,울산대학교병원,울산동구전하동290-3,"35.520101913837344,129.42873869172817"
인천,4/18,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
인천,4/19,코로나19계양구보건소선별진료소,인천계양구계산동1079-1,"37.5374392700899,126.738275117246"
인천,4/19,인천광역시의료원,인천동구송림동318-1,"37.4788434212658,126.668610185659"
부산,4/4,종합운동장역2호선,서울송파구잠실동122,"37.5111446632705,127.073849447402"
부산,4/4,덕천역부산2호선,부산북구덕천동471,"35.210433830935706,129.00517620358818"
부산,4/5,부산의료원,부산연제구거제동1330,"35.18729655432529,129.05922489147238"
부산,4/10,사직1동주민센터,부산동래구사직동50-16,"35.19900540569321,129.06191821132438"
부산,4/18,부산의료원,부산연제구거제동1330,"35.18729655432529,129.05922489147238"
부산,4/8,센트럴병원,부산북구덕천동382-4,"35.211345786500665,129.00909007433197"
부산,4/9,센트럴병원,부산북구덕천동382-4,"35.211345786500665,129.00909007433197"
부산,4/16,센트럴병원,부산북구덕천동382-4,"35.211345786500665,129.00909007433197"
부산,4/11,조방낙지구포직영점,부산북구구포동963-16,"35.201337572747015,128.9974296896521"
부산,4/12,새날교회,부산강서구대저1동433-18,"35.2158244803475,128.98077727120307"
부산,4/12,수손짜장,경남김해시어방동1062-10,"35.2358550298594,128.90562540131282"
부산,4/16,화명일신기독병원,부산북구화명동1170-12,"35.23168521504431,129.01395848082117"
부산,4/18,코로나19부민병원선별진료소,부산북구덕천동380-4,"35.2118686216731,129.0112507306942"
부산,4/18,부산의료원,부산연제구거제동1330,"35.18729655432529,129.05922489147238"
경기,4/18,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,4/19,성남시의료원,경기성남시수정구태평동3309,"37.445053152463494,127.138727193654"
경기,4/16,365웰스팜약국,경기남양주시별내동1008,"37.646438187006495,127.12486446712099"
경기,4/16,가산낚시터,경기포천시가산면루금리300,"37.8252837464503,127.21111651402899"
경기,4/17,코로나19남양주풍양보건소선별진료소,경기남양주시진접읍금곡리1085-1,"37.71048368762529,127.18947867090398"
경기,4/18,경기도의료원의정부병원,경기의정부시의정부동433,"37.7411207604014,127.042486795527"
경기,4/19,코로나19남양주보건소선별진료소,경기남양주시다산동3159-7,"37.610500142345956,127.1711727565189"
서울,4/18,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
서울,4/19,미니스톱홍대입구역점,서울마포구동교동158-8,"37.5566103405869,126.92237092937599"
서울,4/19,코로나19마포구보건소선별진료소,서울마포구성산동369-15,"37.56694932271091,126.90185909738"
서울,4/20,서울적십자병원,서울종로구평동164,"37.56717651248239,126.96699800275701"
서울,4/20,서울대학교병원,서울종로구연건동28-21,"37.5796653058195,126.998962996348"
서울,4/20,경기도의료원의정부병원,경기의정부시의정부동433,"37.7411207604014,127.042486795527"
서울,4/21,경기도의료원의정부병원,경기의정부시의정부동433,"37.7411207604014,127.042486795527"
